Iniciativa,Tipo,Descrição,Estagio,Âmbito,Periodicidade,Estado,Município,Links Relacionados,latitude,longitude,Categoria
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,"Tradicional no País, o Festival Brasil Sabor visa valorizar a gastronomia brasileira, estimulando os restaurantes a criarem novas receitas utilizando técnicas de preparo e ingredientes locais. Em 2021, o Festival chega à 15ª edição, sendo realizado pela primeira vez em formato híbrido: com os pratos servidos nos restaurantes e também no modelo delivery. Além da valorização à pluralidade gastronômica do nosso País, o Brasil Sabor também se consolida como um momento oportuno para divulgação das casas participantes, que aproveitam não só para atrair e fidelizar a clientela, mas também para ouvir a opinião do público e divulgar ações e boas práticas, sendo um forte canal de comunicação com a sociedade",Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Mossoró,https://g1.globo.com/rn/rio-grande-do-norte/o-que-fazer-em-natal-e-regiao/noticia/2019/05/26/em-natal-arena-das-dunas-recebe-a-14a-edicao-do-festival-brasil-sabor.ghtml;http://www.tribunadonorte.com.br/noticia/segunda-fase-do-festival-brasil-sabor-chega-ao-arena/450187;,-5.18374,-37.3474,B
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,"Tradicional no País, o Festival Brasil Sabor visa valorizar a gastronomia brasileira, estimulando os restaurantes a criarem novas receitas utilizando técnicas de preparo e ingredientes locais. Em 2021, o Festival chega à 15ª edição, sendo realizado pela primeira vez em formato híbrido: com os pratos servidos nos restaurantes e também no modelo delivery. Além da valorização à pluralidade gastronômica do nosso País, o Brasil Sabor também se consolida como um momento oportuno para divulgação das casas participantes, que aproveitam não só para atrair e fidelizar a clientela, mas também para ouvir a opinião do público e divulgar ações e boas práticas, sendo um forte canal de comunicação com a sociedade",Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Ceará-Mirim,https://g1.globo.com/rn/rio-grande-do-norte/o-que-fazer-em-natal-e-regiao/noticia/2019/05/26/em-natal-arena-das-dunas-recebe-a-14a-edicao-do-festival-brasil-sabor.ghtml;http://www.tribunadonorte.com.br/noticia/segunda-fase-do-festival-brasil-sabor-chega-ao-arena/450187;,-5.64323,-35.4247,D
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,"Tradicional no País, o Festival Brasil Sabor visa valorizar a gastronomia brasileira, estimulando os restaurantes a criarem novas receitas utilizando técnicas de preparo e ingredientes locais. Em 2021, o Festival chega à 15ª edição, sendo realizado pela primeira vez em formato híbrido: com os pratos servidos nos restaurantes e também no modelo delivery. Além da valorização à pluralidade gastronômica do nosso País, o Brasil Sabor também se consolida como um momento oportuno para divulgação das casas participantes, que aproveitam não só para atrair e fidelizar a clientela, mas também para ouvir a opinião do público e divulgar ações e boas práticas, sendo um forte canal de comunicação com a sociedade",Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Extremoz,https://g1.globo.com/rn/rio-grande-do-norte/o-que-fazer-em-natal-e-regiao/noticia/2019/05/26/em-natal-arena-das-dunas-recebe-a-14a-edicao-do-festival-brasil-sabor.ghtml;http://www.tribunadonorte.com.br/noticia/segunda-fase-do-festival-brasil-sabor-chega-ao-arena/450187;,-5.70143,-35.3048,D
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,"Tradicional no País, o Festival Brasil Sabor visa valorizar a gastronomia brasileira, estimulando os restaurantes a criarem novas receitas utilizando técnicas de preparo e ingredientes locais. Em 2021, o Festival chega à 15ª edição, sendo realizado pela primeira vez em formato híbrido: com os pratos servidos nos restaurantes e também no modelo delivery. Além da valorização à pluralidade gastronômica do nosso País, o Brasil Sabor também se consolida como um momento oportuno para divulgação das casas participantes, que aproveitam não só para atrair e fidelizar a clientela, mas também para ouvir a opinião do público e divulgar ações e boas práticas, sendo um forte canal de comunicação com a sociedade",Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Nísia Floresta,https://g1.globo.com/rn/rio-grande-do-norte/o-que-fazer-em-natal-e-regiao/noticia/2019/05/26/em-natal-arena-das-dunas-recebe-a-14a-edicao-do-festival-brasil-sabor.ghtml;http://www.tribunadonorte.com.br/noticia/segunda-fase-do-festival-brasil-sabor-chega-ao-arena/450187;,-6.09329,-35.1991,D
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,"Tradicional no País, o Festival Brasil Sabor visa valorizar a gastronomia brasileira, estimulando os restaurantes a criarem novas receitas utilizando técnicas de preparo e ingredientes locais. Em 2021, o Festival chega à 15ª edição, sendo realizado pela primeira vez em formato híbrido: com os pratos servidos nos restaurantes e também no modelo delivery. Além da valorização à pluralidade gastronômica do nosso País, o Brasil Sabor também se consolida como um momento oportuno para divulgação das casas participantes, que aproveitam não só para atrair e fidelizar a clientela, mas também para ouvir a opinião do público e divulgar ações e boas práticas, sendo um forte canal de comunicação com a sociedade",Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Parnamirim,https://g1.globo.com/rn/rio-grande-do-norte/o-que-fazer-em-natal-e-regiao/noticia/2019/05/26/em-natal-arena-das-dunas-recebe-a-14a-edicao-do-festival-brasil-sabor.ghtml;http://www.tribunadonorte.com.br/noticia/segunda-fase-do-festival-brasil-sabor-chega-ao-arena/450187;,-5.91116,-35.271,C
Bocuse D'Or Brasil,Evento / Festival;Projeto de Qualificação;,"A academia BRASIL D'OR, foi criada para fomentar a gastronomia brasileira, dentro e fora do país! Somos responsaveis por promover a competicao Bocuse d'Or Brasil, que funciona como se fosse uma copa do Mundo, fazemos a etapa nacional, selecionamos o candidato que ira representar o Brasil e treinamos uma equipe durante dois anos que representará o Brasil, nas proximas etapas, continental e final. O intuito da competicao é mostrar nossa cultura, nossas raizes através de insumos, técnicas, especiarias...",Consolidada (geralmente com mais de 2 anos),Internacional,Anual,SP,,https://www.youtube.com/watch?v=CemCE_8eBuE;https://oglobo.globo.com/gastronomia/brasileira-a-unica-mulher-no-juri-do-bocuse-dor-23411096;,-22.19,-48.79,C
Podcast: Radar Do Turismo Gastronômico,Projeto Promocional;Roteiro Gastronômico;,"O Podcast Radar do Turismo e da Gastronomia tem como objetivo a difusão de conhecimento sobre o universo do turismo gastronômico, a partir da ótica amazônica. Um bate papo com personagens que fazem parte do mundo das viagens e da cozinha. O uso do podcast, como  instrumento de comunicação, facilitará esse processo, ampliando a disseminação das experiências e as possibilidades de realização de ações integradas e de parcerias entre os múltiplos atores do segmento. Considerando que a nossa gastronomia, é um patrimônio imaterial do Estado do Pará e em 2016, Belém foi agraciada com o Selo de Cidade Criativa da Gastronomia, pela UNESCO, o foco do trabalho é dar ressonância as iniciativas, projetos e eventos, além de fomentar o intercâmbio de informações acerca dos produtos e rotas gastronômicas.  A estratégia de ação está consolidada em entrevistas de personalidades da área, falando sobre História da Gastronomia da Amazônia, os Territórios da Gastronomia Paraense, que são: Amazônia Atlântica /Marajó/Tapajós e Belém, os Chefs Paraenses, as Comidas Tradicionais, os Produtores de Insumos, a Indicação Geográfica (IG) do Pará e os escritores da Gastronomia do nosso Estado.",Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,PA,Belém,@academiadelocucaooficial;,-1.4554,-48.4898,A
Festival Do Pinhão - Rota Das Colônias,Evento / Festival;,Festival do Pinhão tem por objetivo exaltar o fruto e a gastronomia à base do Pinhão. Fomentar os espaços gastronómicos e artesãos pertencentes a ao roteiro rural - Rota das Colônias.,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,PR,São José dos Pinhais,http://rotadascolonias.tur.br/1o-festival-do-pinhao-rota-das-colonias/;,-25.5313,-49.2031,B
Taubateamo Gastronomia,Evento / Festival;,Fomentar a atividade gastronômica de Taubaté; Estimular e ajudar no fortalecimento do setor  Gastronômico; Incentivar que os clientes voltem a consumir; Agregar valor a partir da promoção dos  estabelecimentos do setor  Gastronômico.,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,SP,Taubaté,www.taubateamogastronomia.com.br;https://www.instagram.com/taubateamogastronomia/;,-23.0104,-45.5593,B
Bares Centenarios,Roteiro Gastronômico;,"Descubra e brinde aos sabores e histórias dos bares centenários do Rio de Janeiro. O Rio de Janeiro é famoso pela sua boemia e seu jeito Carioca de ser, mas muitas pessoas não sabem e não conhecem a variedade de bares com mais de 100 anos que o Rio de Janeiro possui. Em um roteiro de 6 horas, percorremos três bares com mais de 100 anos provando os seus petiscos e bebidas como o chopp e a cachaça e descobrindo a influência da gastronomia Portuguesa, Espanhola e Alemã no tradicional boteco carioca",Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Permanente,RJ,Rio de Janeiro,https://business.google.com/u/2/products/l/12552805510028085941;,-22.9129,-43.2003,A
Pisa Da Uva No Lagar,Evento / Festival;Roteiro Gastronômico;Produto Turístico de Gastronomia;,"Uma experiência em família, onde a cultura e gastronomia portuguesa fazem parte do dia do turista que nos prestigiar. A vivência de colheita e pisa das uvas, além de um maravilhoso almoço inspirado na culinária da Ilha da Madeira, tornam São Roque um pedacinho de Portugal. Um grupo folclórico tradicional da Madeira, dão cor e vida a esta experiência gastronômica na nossa Quinta",Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,SP,São Roque,https://www.quintadoolivardo.com.br/;https://youtu.be/LrZMcLsE7vg;https://www.saoroque.sp.gov.br/portal/noticias/0/3/5620/5-pisa-da-uva-no-lagar-contou-com-presenca-do-secretario-estadual-de-turismo;,-23.5226,-47.1357,B
Festival De Gastronomia Caiçara,Evento / Festival;,"O Festival valoriza a gastronomia local, resgatando o prato típico do Litoral, a CAMBIRA, aproveitando a época da “puxada de rede” da Tainha – atividade cultural e tradicional no litoral paranaense nos meses de inverno.  Durante o Festival, que ocorrerá entre os dias 16 e 25 de julho, os estabelecimentos inscritos poderão oferecer pratos da culinária caiçara, a versão tradicional da Cambira e releituras desse patrimônio da culinária brasileira.",Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,PR,Pontal do Paraná,https://gastronomiacaicara.com.br/;,-25.6735,-48.5111,B
Festival De Gastronomia Caiçara,Evento / Festival;,"O Festival valoriza a gastronomia local, resgatando o prato típico do Litoral, a CAMBIRA, aproveitando a época da “puxada de rede” da Tainha – atividade cultural e tradicional no litoral paranaense nos meses de inverno.  Durante o Festival, que ocorrerá entre os dias 16 e 25 de julho, os estabelecimentos inscritos poderão oferecer pratos da culinária caiçara, a versão tradicional da Cambira e releituras desse patrimônio da culinária brasileira.",Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,PR,Matinhos,https://gastronomiacaicara.com.br/;,-25.8237,-48.549,B
Rota Queijos E Vinhos,Roteiro Gastronômico;Produto Turístico de Gastronomia;,"Rota Turística com café da manhã colonial, visita à queijaria, day use com almoço em hotel fazenda e trilha na mata terminando em uma cachoeira onde é servido uma mesa com queijos e vinhos.",Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Mensal,PR,,https://instagram.com/trekkers_ecoturismo?utm_medium=copy_link;,-24.89,-51.55,A
Circuito Gastronomico,Evento / Festival;Projeto Social;Produto Turístico de Gastronomia;,Bares e restaurantes da cidade recebem capacitação nas áreas de manipulação de alimentos e treinamento com vários chefs renomados e durante 10 dias oferecem ao público um prato ou petisco especiais com preço promocionais previamente fivulgados,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,AL,Barra de São Miguel,https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTkyNDU1ODExMDgxNDM0?utm_medium=copy_link;@visitebarradesaomiguel ;,-9.83842,-35.9057,C
Festival Grastronomico De Frutos Do Mar De Itapemirim,Evento / Festival;,"Festival de Frutos do Mar realizado na Praia de Itaipava - Es com a primeira edição em 2006, objetivo principal valorização da pesca local, agroindústria, associações, marisqueiras, artesanato e demais produções domesticas. O município de Itapemirim é um forte produtos de pescados, concentra uma frota pesqueira de expressão preservando a pesca artesanal e construção naval que é passada de geração para geração, hoje possuímos um dos maiores Terminal de Pesca da Região Sudeste o que nos favorece investimentos na aérea da pesca unindo os seguimentos comercial locais, facilitando um destino turístico unindo a gastronomia, cultura como atrativo de geração de renda na baixa temporada.",Consolidada (geralmente com mais de 2 anos),Estadual,Anual,ES,Itapemirim,https://www.folhavitoria.com.br/geral/noticia/02/2020/festival-gastronomico-de-frutos-do-mar-de-itapemirim-sera-em-abril;https://www.folhavitoria.com.br/geral/noticia/02/2020/festival-gastronomico-de-frutos-do-mar-de-itapemirim-sera-em-abril;,-20.8462,-41.1198,B
Gastronomia Mineira Com Mestras De Igarapé,Roteiro Gastronômico;,"As Mestras de Igarapé são responsáveis por fazer arte na cozinha, transformando ingredientes regionais em pratos da gastronomia mineira repletos de sabores, cores, cheiros e texturas. Desfrute dos temperos dessas mulheres incríveis e de uma culinária cheia de tradição e muitas histórias. Valorize e fortaleça o trabalho desenvolvido pelas mestras responsáveis pelo resgate de ingredientes regionais, por manter viva a tradição e transmiti-la de geração para geração. Vivencie Minas Gerais por meio da gastronomia de raiz em uma experiência exclusiva e cheia de sabor.",Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,MG,Brumadinho,https://www.circuitoveredasdoparaopeba.org.br/gastronomia-mineira-com-mestras-do-igarape;https://www.facebook.com/circuitoveredas;,-20.151,-44.2007,C
Experiência Ao Gosto Do Rei,Roteiro Gastronômico;,"""Resgatando Sabores dos Quintais Mineiros"". Experimente um menu gastronômico completo na Casa do Rei Bistrô: comida mineira contemporânea servida com todo o requinte e inovação, enquanto acompanha as histórias do Rei, nosso anfitrião.  A EXPERIÊNCIA:  Duração da experiência: 2 horas Deguste pratos da cozinha autoral do Chef Reinaldo Conheça a história dos ingredientes de quinta.  A especialidade de sempre é a comida mineira com boa apresentação, uma pitada de inovação e receitas especiais. Assim é a Casa do rei Bistrô, um lugar aconchegante, criado com paixão pelo melhor da tradição e cultura gastronômica do estado de Minas Gerais. Para o almoço o jantar, alimente todos os seus sentidos com um menu especialmente desenvolvido para ocasiões memoráveis.",Consolidada (geralmente com mais de 2 anos),Municipal / Local,Permanente,MG,Brumadinho,https://www.circuitoveredasdoparaopeba.org.br/ao-gosto-do-rei;https://www.facebook.com/circuitoveredas ;,-20.151,-44.2007,C
Experiência Mundo Mágico Dos Picolés,Roteiro Gastronômico;,"Essa experiência leva você a descobrir o incrível mundo dos picolés artesanais da Empório Caipira. Durante a visita a mini fábrica de picolés artesanais, você poderá produzir, customizar com diversos toppings e se deliciar com seu próprio picolé.  A EXPERIÊNCIA:  ?Faça você mesmo o seu picolé artesanal. ?Personalize e prove diferentes sabores.  ?Duração de 2 horas  O que poderia ser melhor do que fazer uma imersão em uma fábrica de picolés artesanais?  A experiência te leva ao passo a passo do mundo mágico dos picolés, desde o preparo da calda até o último detalhe da embalagem. Com a orientação de uma especialista no tema, você terá a oportunidade de conhecer a história da produção dos picolés da Empório Caipira e vivenciar todas as etapas de fabricação, colocando literalmente a “mão na massa”. Enquanto os picolés ficam prontos, ofereceremos uma degustação dos produtos. São mais de 10 deliciosas opções de sabores.  Ao final será possível saborear o picolé que você produziu.  Para aqueles que queiram compartilhar um pouco dessa deliciosa experiência com os amigos e familiares, há a opção de comprar o produto diretamente na fábrica e transportar na nossa caixa de isopor personalizada.",Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Permanente,MG,Brumadinho,https://www.circuitoveredasdoparaopeba.org.br/mundo-magico-dos-picoles;https://www.facebook.com/circuitoveredas;,-20.151,-44.2007,C
